"name","type","borough","address","city","zip","lat","lon","license_no"
"BELLEZA AND GLAMOUR BEAUTY SALON CORP","salon","Bronx","15 Marcy Pl","Bronx","10452","40.83881","-73.91814","AEB-14-00594"
"BELLEZA LATINA","salon","Bronx","471 E 138th St","Bronx","10454","40.80815","-73.92062","AEB-24-00529"
"Belleza Masters LLC","salon","Bronx","305 E 194th St","Bronx","10458","40.86451","-73.89192","AEB-23-01131"
"BENGI BARBER SHOP CORP.","salon","Bronx","2050 Wallace Ave","Bronx","10462","40.85192","-73.86489","AEB-24-01703"
"BENZANT UNISEX INC","salon","Bronx","765 Astor Ave","Bronx","10467","40.8596","-73.86487","AEB-24-00253"
"BERROA 2002 CORPORATION","salon","Bronx","23 W 184th St","Bronx","10468","40.86087","-73.90338","AEB-23-02411"
"Berverlyn Beauty Studio LLC","salon","Bronx","271 E 150th St","Bronx","10451","40.81798","-73.92219","AEB-26-00691"
"BEST BROWS & LASH STUDIO LLC","salon","Bronx","5223 Broadway","Bronx","10463","40.87496","-73.90924","AEB-26-01280"
"BEST BROWS & WAXING INC","salon","Bronx","2409 Grand Concourse","Bronx","10468","40.8604","-73.89845","AEB-21-00941"
"BETEL HAIR SALON & SPA LLC","salon","Bronx","87 W Kingsbridge Rd","Bronx","10468","40.86819","-73.90067","AEB-26-00684"
"BETTER CUT BARBER SHOP","barber","Bronx","3429A EASTCHESTER RD","BRONX","10469","40.87732","-73.84652","18BE4070035"
"Betty Boop Hair Salon","salon","Bronx","3552 E Tremont Ave Unit 1","Bronx","10465","40.82998","-73.82558","AEB-23-01274"
"BeyondFabHair Studio LLC","salon","Bronx","803 E 233rd St Frnt A","Bronx","10466","40.89241","-73.85425","AEB-17-01527"
"BH&V NAIL SPA INC","salon","Bronx","345 E Gun Hill Rd","Bronx","10467","40.87877","-73.87283","AEB-25-00645"
"BIANCE BEAUTY SALON CORP","salon","Bronx","1275 Webster Ave","Bronx","10456","40.83384","-73.90875","AEB-23-01000"
"Bimlash Lashes Inc","salon","Bronx","1999 Jerome Ave","Bronx","10453","40.85279","-73.90831","AEB-23-02370"
"BIO ESTHETICIAN CORP","salon","Bronx","81A Featherbed Ln","Bronx","10452","40.8463","-73.91778","AEB-17-01929"
"BL World Nails","salon","Bronx","3B E Burnside Ave","Bronx","10453","40.85368","-73.90704","AEB-14-00583"
"Black Pearl Unisex Salon, LLC","barber","Bronx","1510 Metropolitan Ave","Bronx","10462","40.83932","-73.85855","BSO-24-00336"
"Blanc Azur Spa Inc","salon","Bronx","3451 E Tremont Ave Ste 2","Bronx","10465","40.83226","-73.82757","AEB-15-01017"
"Blanca Y Rodriguez De Gil","salon","Bronx","243B W 231st St","Bronx","10463","40.87963","-73.90622","AEB-26-00733"
"BLESSED NAILS SPA INC.","salon","Bronx","567 Southern Blvd","Bronx","10455","40.8125","-73.90284","AEB-25-02833"
"Blessing Bless Beauty LLC","salon","Bronx","3742 White Plains Rd","Bronx","10467","40.8827","-73.86331","AEB-22-01805"
"Blessing Bless Beauty LLC","barber","Bronx","3742 White Plains Rd","Bronx","10467","40.8827","-73.86331","BSO-22-00239"
"Bling Nails","salon","Bronx","3756 White Plains Rd","Bronx","10467","40.88308","-73.8631","AEB-22-01255"
"BLISS NAIL & SPA, INC.","salon","Bronx","263 E Gun Hill Rd","Bronx","10467","40.87967","-73.87554","AEB-19-00820"
"BLOSSOM NAIL SALON III CORP","salon","Bronx","3021 3RD AVENUE, B","BRONX","10455","40.81962","-73.91346","AEB-25-02145"
"BLUE NAILS LOUNGE INC","salon","Bronx","257 W Kingsbridge Rd","Bronx","10463","40.87298","-73.90537","AEB-26-00134"
"BM BARBERSHOP INC","barber","Bronx","1568 White Plains Rd","Bronx","10462","40.83994","-73.86394","BSO-23-00140"
